исходный_текст,текст_поиска,найденный_текст
"Он зашёл в кафе, но передумал и сразу вышел.",кофейня,кафе
"В сумке звенели ключи, мелочь и что-то ещё металлическое.",монета,мелочь
"Она попыталась открыть окно, но оно заклинило от старости.",распахнуть,открыть
"На асфальте валялся сломанный зонт, раскрытый, как крылья летучей мыши.",крыса,
"Он написал сообщение, но так и не отправил его.",письмо,сообщение
"В ванной капал кран, нарушая тишину ночи.",уборная,
Она пересчитала деньги в кошельке и вздохнула.,бумажник,кошельке
"На дереве сидела ворона, наблюдая за происходящим внизу.",любоваться,наблюдая
"Он завязал шарф, хотя на улице было совсем не холодно.",тепло,не холодно
"В ящике стола лежали старые фотографии, которые никто не смотрел.",коробка,
Она наступила на лего босой ногой и чуть не закричала.,встать,наступила
"На экране телефона появилось уведомление, но она его проигнорировала.",монитор,экране
Он выпил последний глоток воды и поставил стакан в раковину.,умывальник,раковину
"В коридоре скрипнула половица, хотя в доме никого не было.",доска,половица
Она открыла книгу на случайной странице и начала читать.,произведение,книгу
На стене висела карта мира с отметками в неожиданных местах.,земля,мира
"Он потянулся за пультом, но так и не включил телевизор.",лентяйка,пультом
В траве лежала потерянная кем-то серебряная пуговица.,металл,серебряная
"Она зажгла ароматическую свечу, но запах оказался слишком резким.",аромат,запах
На балкон соседа прилетел голубь и сел на перила.,птица мира,голубь
"Он попытался вспомнить имя человека, но память подвела.",запоминающее устройство,
"В шкафу висело пальто, которое никто не носил уже годы.",гардероб,шкафу
"Она налила молоко в кофе и заметила, что оно свернулось.",латте,кофе
"На подъезде кто-то написал маркером ""Здесь был Вася"".",фломастер,маркером
"Он снял часы и положил их на тумбочку, хотя время ещё шло.",наручные часы,часы
"В пруду плавала утка с утятами, и люди бросали им хлеб.",гусь,
"Она завязала волосы в хвост, но через минуту они снова рассыпались.",прядь,волосы
На крыльце сидел рыжий кот и вылизывал лапу.,веранда,крыльце
"Он достал из кармана монету и подбросил её, но не поймал.",металлические деньги,монету
"Ветер сорвал с дерева последний лист, и наступила зима.",страница,
